name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_name,car_model,car_age,depreciation,log_km_driven
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol,11.0,0.3,11.51293546492023
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT,7.0,0.0,10.12667110305036
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,Maruti,Ciaz VXi Plus,10.0,0.3,10.085850775128717
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Deisel,Dealer,Manual,First Owner,Hyundai,Venue SX Opt Diesel,6.0,0.0,8.517393171418904
Skoda Octavia Elegance 2.0 TDI AT,2014.0,1964999.0,28000.0,Deisel,Individual,Automatic,First Owner,Skoda,Octavia Elegance 2.0 TDI AT,11.0,0.3,10.239995502805316
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Deisel,Dealer,Automatic,First Owner,Mercedes-Benz,New C-Class 220 CDI AT,12.0,0.3,10.985309671896763
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Deisel,Dealer,Automatic,First Owner,Maruti,Vitara Brezza ZDi Plus AMT,7.0,0.0,8.412054873292933
Honda City V MT,2018.0,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,Honda,City V MT,7.0,0.0,9.581972891547895
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,25000.0,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron XT,7.0,0.0,10.12667110305036
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Deisel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI  Design Edition,12.0,0.3,10.819798284210286
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Deisel,Dealer,Automatic,Second Owner,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,13.0,0.6,10.428245666832275
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,76400.0,Deisel,Dealer,Manual,Second Owner,Skoda,Superb Ambition 2.0 TDI CR AT,14.0,0.6,11.243751064074187
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,Toyota,Corolla Altis G AT,9.0,0.0,10.819798284210286
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Deisel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7 Seater,10.0,0.3,11.289794413577894
Jeep Compass 1.4 Sport Plus BSIV,2014.0,1400000.0,10000.0,Petrol,Individual,Manual,First Owner,Jeep,Compass 1.4 Sport Plus BSIV,11.0,0.3,9.210440366976517
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrol,Dealer,Manual,First Owner,Mercedes-Benz,E-Class E 200 CGI Elegance,15.0,0.6,11.686887175419702
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Deisel,Dealer,Automatic,Second Owner,BMW,3 Series 320d Sport Line,12.0,0.3,11.235866764155578
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Deisel,Dealer,Automatic,Third Owner,Audi,Q7 35 TDI Quattro Premium,16.0,0.8,11.264476926102367
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Deisel,Individual,Manual,First Owner,Hyundai,Elantra CRDi S,13.0,0.6,10.596659732783579
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Deisel,Individual,Manual,First Owner,Mahindra,Scorpio 1.99 S10,11.0,0.3,10.819798284210286
Honda City i DTEC V,2014.0,560000.0,74000.0,Deisel,Individual,Manual,Second Owner,Honda,City i DTEC V,11.0,0.3,11.211833885608513
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS IV with ABS,11.0,0.3,11.06665398721974
Maruti Wagon R VXI BS IV,2014.0,275000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS IV,11.0,0.3,11.002116507732017
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Deisel,Individual,Manual,Second Owner,Mahindra,Scorpio LX,16.0,0.8,11.695255355062795
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing GLS,16.0,0.8,11.277215789596893
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta,6.0,0.0,9.61587214452889
Maruti Alto LXi,2009.0,100000.0,80000.0,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,16.0,0.8,11.289794413577894
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Deisel,Dealer,Manual,First Owner,Maruti,Swift Dzire VDI Optional,8.0,0.0,9.825580063659602
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrol,Individual,Manual,First Owner,Maruti,Eeco 5 Seater AC BSIV,7.0,0.0,9.23024103368252
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Deisel,Dealer,Manual,First Owner,Hyundai,i20 Sportz 1.4 CRDi,7.0,0.0,10.275085591132715
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,7.0,0.0,10.239995502805316
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Deisel,Dealer,Manual,First Owner,Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi,11.0,0.3,11.156264806643742
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,13.0,0.6,11.002116507732017
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Deisel,Individual,Manual,Second Owner,Mahindra,Jeep CL 500 MDI,29.0,0.8,10.463131911491967
Honda City i DTEC VX,2014.0,675000.0,90000.0,Deisel,Dealer,Manual,First Owner,Honda,City i DTEC VX,11.0,0.3,11.407576060361786
Maruti Wagon R VXI BS IV,2013.0,405000.0,80000.0,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R VXI BS IV,12.0,0.3,11.289794413577894
Tata Indica DLS,2005.0,70000.0,80000.0,Deisel,Individual,Manual,First Owner,Tata,Indica DLS,20.0,0.8,11.289794413577894
Hyundai EON Magna Plus,2014.0,240000.0,70000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,EON Magna Plus,11.0,0.3,11.156264806643742
Toyota Etios GD,2014.0,525000.0,92000.0,Deisel,Dealer,Manual,First Owner,Toyota,Etios GD,11.0,0.3,11.429554725537322
Maruti Alto LXi,2009.0,151000.0,66764.0,Petrol,Dealer,Manual,Second Owner,Maruti,Alto LXi,16.0,0.8,11.108934270118064
Maruti Alto LXi,2009.0,140000.0,100000.0,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi,16.0,0.8,11.51293546492023
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Deisel,Individual,Manual,Second Owner,Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII,15.0,0.6,12.765691290604371
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Deisel,Individual,Manual,First Owner,Toyota,Corolla Altis Diesel D4DG,14.0,0.6,12.345838935721968
Mahindra Scorpio 1.99 S6 Plus,2016.0,570000.0,60000.0,Deisel,Individual,Manual,First Owner,Mahindra,Scorpio 1.99 S6 Plus,9.0,0.0,11.002116507732017
Hyundai EON Magna Plus,2018.0,300000.0,31000.0,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus,7.0,0.0,10.34177474101152
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,Deisel,Individual,Manual,First Owner,Tata,Indigo Classic Dicor,18.0,0.8,10.571342565808699
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Deisel,Individual,Manual,Third Owner,Toyota,Innova 2.5 V Diesel 8-seater,16.0,0.8,11.695255355062795
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Deisel,Individual,Manual,Fourth & Above Owner,Tata,Indica Vista Quadrajet LS,11.0,0.3,12.019749091416921
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,Swift 1.3 VXi,19.0,0.8,11.608244735642321
Ford EcoSport 1.5 Diesel Titanium BSIV,2018.0,925000.0,25000.0,Deisel,Individual,Manual,First Owner,Ford,EcoSport 1.5 Diesel Titanium BSIV,7.0,0.0,10.12667110305036
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Deisel,Individual,Manual,First Owner,Maruti,Ciaz 1.3 Delta,7.0,0.0,11.002116507732017
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrol,Individual,Automatic,Second Owner,Honda,Civic 1.8 V AT,18.0,0.8,10.896757843893464
Hyundai i10 Sportz 1.2,2010.0,140000.0,63000.0,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Sportz 1.2,15.0,0.6,11.050905878263567
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Deisel,Individual,Manual,Second Owner,Skoda,Rapid 1.5 TDI Elegance,11.0,0.3,11.695255355062795
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Getz GLS,20.0,0.8,11.695255355062795
Maruti Alto 800 LXI,2014.0,650000.0,76000.0,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800 LXI,11.0,0.3,11.23850177707664
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Deisel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz,10.0,0.3,11.289794413577894
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Deisel,Individual,Manual,First Owner,Hyundai,Elite i20 Diesel Era,6.0,0.0,10.12667110305036
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,Honda,Amaze S i-VTEC,9.0,0.0,9.389239411968807
Honda Brio S MT,2015.0,371000.0,20000.0,Petrol,Dealer,Manual,First Owner,Honda,Brio S MT,10.0,0.3,9.90353755128617
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Creta 1.6 SX Option,8.0,0.0,9.105090961257085
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Deisel,Individual,Manual,First Owner,Mahindra,XUV500 W8 2WD,10.0,0.3,11.156264806643742
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Deisel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel RxL Optional,12.0,0.3,11.695255355062795
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,Santro Xing XO,18.0,0.8,10.968215530759236
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Deisel,Dealer,Manual,First Owner,Mahindra,Bolero 2011-2019 SLE,12.0,0.3,11.038126355768453
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Deisel,Dealer,Automatic,Second Owner,Audi,A6 2.0 TDI Premium Plus,11.0,0.3,10.434145214930487
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Deisel,Individual,Manual,Second Owner,Fiat,Avventura MULTIJET Emotion,10.0,0.3,10.87806606028079
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Deisel,Individual,Automatic,First Owner,Audi,A8 4.2 TDI,12.0,0.3,10.799595985047786
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,Datsun,RediGO 1.0 S,8.0,0.0,9.61587214452889
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Deisel,Dealer,Automatic,First Owner,Audi,A4 2.0 TDI 177 Bhp Premium Plus,12.0,0.3,10.87806606028079
Maruti SX4 ZXI AT,2009.0,210000.0,63500.0,Petrol,Dealer,Automatic,First Owner,Maruti,SX4 ZXI AT,16.0,0.8,11.05881093278828
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,E-Class Exclusive E 200 BSIV,7.0,0.0,10.12667110305036
BMW X1 sDrive 20d xLine,2017.0,2750000.0,39157.0,Deisel,Individual,Automatic,First Owner,BMW,X1 sDrive 20d xLine,8.0,0.0,10.575360022817218
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,Maruti,SX4 Zxi BSIII,17.0,0.8,10.281033180646158
BMW 7 Series 730Ld,2012.0,2500000.0,80000.0,Deisel,Dealer,Automatic,First Owner,BMW,7 Series 730Ld,13.0,0.6,11.289794413577894
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Deisel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus SLX,8.0,0.0,11.695255355062795
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrol,Individual,Manual,First Owner,Nissan,Micra Active XV Petrol,8.0,0.0,10.308985993422082
Mahindra Xylo D4,2018.0,750000.0,87000.0,Deisel,Individual,Manual,First Owner,Mahindra,Xylo D4,7.0,0.0,11.373674891823535
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Sportz Plus Dual Tone BSIV,6.0,0.0,9.61587214452889
Renault KWID RXT,2017.0,260000.0,16000.0,Petrol,Individual,Manual,First Owner,Renault,KWID RXT,8.0,0.0,9.680406499268875
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Deisel,Individual,Manual,First Owner,Mahindra,Xylo E4 BS III,13.0,0.6,11.002116507732017
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R LXI Minor,15.0,0.6,11.002116507732017
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,SX4 ZXI MT BSIV,14.0,0.6,11.608244735642321
Renault KWID RXT,2016.0,350000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,KWID RXT,9.0,0.0,10.12667110305036
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Deisel,Individual,Manual,First Owner,Hyundai,Creta 1.4 CRDi S,9.0,0.0,11.002116507732017
Maruti Swift Dzire VDI,2014.0,434000.0,70000.0,Deisel,Individual,Manual,Second Owner,Maruti,Swift Dzire VDI,11.0,0.3,11.156264806643742
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,Hyundai,Verna 1.6 VTVT AT S Option,9.0,0.0,11.289794413577894
Mahindra Scorpio LX BSIV,2014.0,555000.0,70000.0,Deisel,Individual,Manual,Second Owner,Mahindra,Scorpio LX BSIV,11.0,0.3,11.156264806643742
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIII,18.0,0.8,11.407576060361786
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Deisel,Individual,Manual,Second Owner,Maruti,Ertiga VDI,11.0,0.3,11.695255355062795
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Deisel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,12.0,0.3,11.002116507732017
Maruti Zen LX,2004.0,95000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Zen LX,21.0,0.8,10.819798284210286
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta 1.2,7.0,0.0,9.90353755128617
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Deisel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Vdi BSIII,18.0,0.8,11.608244735642321
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,Tata,Nano Lx BSIV,13.0,0.6,10.819798284210286
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Deisel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX (Diesel) 8 Seater,13.0,0.6,11.51293546492023
Hyundai Creta 1.6 CRDi SX,2016.0,535000.0,70000.0,Deisel,Individual,Manual,Second Owner,Hyundai,Creta 1.6 CRDi SX,9.0,0.0,11.156264806643742
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Deisel,Individual,Manual,Second Owner,Hyundai,Creta 1.6 CRDi SX,9.0,0.0,11.156264806643742
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrol,Individual,Manual,First Owner,Honda,Amaze S i-Vtech,9.0,0.0,10.819798284210286
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,81925.0,Deisel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.4 TDI,15.0,0.6,11.313571679778757
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,80000.0,Deisel,Individual,Manual,Third Owner,Chevrolet,Tavera Neo 2 LS B4 7 Str BSIII,13.0,0.6,11.289794413577894
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,Deisel,Dealer,Manual,First Owner,Chevrolet,Cruze LTZ,10.0,0.3,8.188966863648876
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,10.0,0.3,9.566124919629768
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,39157.0,Deisel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,8.0,0.0,10.575360022817218
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz 1.1L,10.0,0.3,10.596659732783579
Maruti 800 Std,1998.0,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800 Std,27.0,0.8,10.596659732783579
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0 LS,13.0,0.6,11.289794413577894
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus,10.0,0.3,11.156264806643742
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Deisel,Individual,Manual,First Owner,Tata,Indica Vista Aqua TDI BSIII,14.0,0.6,11.156264806643742
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petrol,Individual,Manual,First Owner,Hyundai,Santro LP zipPlus,22.0,0.8,10.950824090522445
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Deisel,Individual,Manual,First Owner,Tata,Bolt Quadrajet XE,9.0,0.0,11.695255355062795
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,800 AC BSIII,20.0,0.8,10.308985993422082
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,Hyundai,EON Era Plus,12.0,0.3,8.083637203141548
Maruti Ertiga VXI,2015.0,540000.0,55340.0,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI,10.0,0.3,10.921269323289689
Hyundai i20 1.2 Asta,2011.0,700000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Asta,14.0,0.6,9.210440366976517
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Deisel,Individual,Manual,First Owner,Maruti,Ciaz VDi Plus,10.0,0.3,11.51293546492023
Hyundai Creta 1.6 CRDi SX,2016.0,430000.0,80000.0,Deisel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX,9.0,0.0,11.289794413577894
Hyundai Santro LE,2002.0,65000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Santro LE,23.0,0.8,11.156264806643742
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Deisel,Individual,Manual,First Owner,Maruti,Vitara Brezza VDi,7.0,0.0,10.463131911491967
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro III,18.0,0.8,11.643962499267984
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3 GLS,17.0,0.8,10.892526761440571
Mahindra Quanto C8,2012.0,195000.0,140000.0,Deisel,Individual,Manual,Second Owner,Mahindra,Quanto C8,13.0,0.6,11.849404844423074
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Deisel,Individual,Manual,First Owner,Chevrolet,Tavera Neo 3 LS 7 C BSIII,10.0,0.3,11.695255355062795
Hyundai EON Magna Plus,2012.0,245000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus,13.0,0.6,11.002116507732017
Renault KWID RXT,2016.0,225000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,KWID RXT,9.0,0.0,10.12667110305036
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Individual,Manual,First Owner,Maruti,Wagon R DUO LPG,11.0,0.3,11.407576060361786
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI,5.0,0.0,11.695255355062795
Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,530000.0,175000.0,Deisel,Individual,Manual,First Owner,Chevrolet,Enjoy 1.3 TCDi LS 8,10.0,0.3,12.07254696717504
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,Chevrolet,Spark 1.0 LS,14.0,0.6,11.51293546492023
Honda City i VTEC SV,2014.0,620000.0,70000.0,Petrol,Individual,Manual,First Owner,Honda,City i VTEC SV,11.0,0.3,11.156264806643742
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Deisel,Individual,Manual,First Owner,Honda,Amaze VX i-DTEC,12.0,0.3,10.308985993422082
Jaguar XJ 5.0 L V8 Supercharged,2014.0,2550000.0,40000.0,Petrol,Individual,Automatic,Second Owner,Jaguar,XJ 5.0 L V8 Supercharged,11.0,0.3,10.596659732783579
Honda Brio E MT,2013.0,262500.0,70000.0,Petrol,Individual,Manual,Second Owner,Honda,Brio E MT,12.0,0.3,11.156264806643742
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Swift VVT ZXI,8.0,0.0,11.002116507732017
Tata Indigo CR4,2011.0,150000.0,155500.0,Deisel,Individual,Manual,First Owner,Tata,Indigo CR4,14.0,0.6,11.954407441448915
Hyundai i10 Asta AT,2014.0,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,Hyundai,i10 Asta AT,11.0,0.3,10.819798284210286
Chevrolet Beat LT Option,2016.0,320000.0,40000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Beat LT Option,9.0,0.0,10.596659732783579
Maruti Swift VDI BSIV,2015.0,425000.0,100000.0,Deisel,Individual,Manual,Third Owner,Maruti,Swift VDI BSIV,10.0,0.3,11.51293546492023
Maruti Alto LXi,2012.0,175000.0,80000.0,Petrol,Individual,Manual,Third Owner,Maruti,Alto LXi,13.0,0.6,11.289794413577894
